,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,dien_tich,huong_ban_cong,phong_ngu,id_thanh_pho,ten_thanh_pho,id_quan,ten_quan,so_tang,mat_tien,noi_that,huong_nha,so_do,lat,long,gia,gia_m2,du_an,project_name,id_duong,ten_duong,do_rong_duong,do_rong_duong_ml,id_phuong,ten_phuong
245,4937,38397,38397,38.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,3.5,,,0,21.017649,105.830046,5950.0,156.57894736842104,,,5e958eea208d0d6d7648fd66,34,5.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e11f,Phường Cát Linh
246,4940,38400,38400,75.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,8.0,5.1,,,0,21.0225776,105.8318544,28500.0,380.0,,,5e958eea208d0d6d7648fdcf,27,20.0,Mặt phố - Mặt đường,,
247,4953,38413,38413,38.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,3.5,,KXĐ,0,21.017649,105.830046,5950.0,156.57894736842104,,,5e958eea208d0d6d7648fd79,43,5.0,Mặt phố - Mặt đường,,
248,5105,38565,38565,48.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,6.0,4.5,,,0,21.017649,105.830046,26000.0,541.6666666666666,,,5e958eea208d0d6d7648fdd6,30,6.0,Mặt phố - Mặt đường,,
249,5106,38566,38566,125.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,5.6,,,0,21.0130853,105.8203773,57600.0,460.8,,,5e958eea208d0d6d7648fdd0,23,30.0,Mặt phố - Mặt đường,,
250,5124,38584,38584,30.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,3.0,3.6,,,0,20.995508800000003,105.8177232,5200.0,173.33333333333337,,,5e958eea208d0d6d7648fdc2,12,10.0,Mặt phố - Mặt đường,,
251,5147,38607,38607,40.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,4.0,10.0,,,0,21.017649,105.830046,12000.0,300.0,,,5e958eea208d0d6d7648fda8,70,30.0,Mặt phố - Mặt đường,,
252,5387,38847,38847,75.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,8.0,4.6,,,0,21.017649,105.830046,19000.0,253.33333333333331,,,5e958eea208d0d6d7648fda0,72,8.0,Mặt phố - Mặt đường,,
253,5406,38866,38866,53.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,5.0,,Tây-Nam,0,21.0103338,105.819484,24000.0,452.8301886792453,,,5e958eea208d0d6d7648fd90,60,10.0,Mặt phố - Mặt đường,,
254,5474,38934,38934,30.0,,7.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,3.0,,,1,21.0171067,105.8319264,5950.0,198.33333333333331,,,5e958eea208d0d6d7648fd6d,85,2.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e123,Phường Ô Chợ Dừa
255,5598,39058,39058,90.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,4.5,,,0,21.009967,105.823136,34000.0,377.77777777777777,,,5e958eea208d0d6d7648fd97,76,30.0,Mặt phố - Mặt đường,,
256,5604,39064,39064,112.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,4.0,5.0,,KXĐ,0,21.0092227,105.8143864,12800.0,114.28571428571428,,,5e958eea208d0d6d7648fdd5,29,3.0,Mặt phố - Mặt đường,,
257,5620,39080,39080,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,5.0,,Tây-Nam,0,21.0103338,105.819484,24000.0,480.0,,,5e958eea208d0d6d7648fd90,60,7.0,Mặt phố - Mặt đường,,
258,5636,39096,39096,34.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,4.0,3.5,,Đông-Nam,0,21.017649,105.830046,7500.0,220.5882352941176,,,5e958eea208d0d6d7648fdab,79,15.0,Mặt phố - Mặt đường,,
259,5654,39114,39114,56.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,4.3,,KXĐ,0,21.0092227,105.8143864,17500.0,312.5,,,5e958eea208d0d6d7648fdb3,4,10.0,Mặt phố - Mặt đường,,
